season,basin,storm,type,satellite,resolution,image
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,19981220.2351.f11.rain.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,1919981121.1237.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,19981123.0239.f14.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,1919981121.1237.ssmi.vis.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,tmi_85h,2degreeticks,19981116.0221.trmm.tmi_85h.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,tmi_85h,2degreeticks,19981116.1026.trmm.tmi_85h.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,surfaceRain,none,19981121.0014.trmm.surfaceRain.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,surfaceRain,none,19981121.0814.trmm.surfaceRain.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,surfaceRain,none,19981122.0030.trmm.surfaceRain.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,surfaceRain,none,19981122.2317.trmm.surfaceRain.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,surfaceRain,none,19981123.0511.trmm.surfaceRain.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,precipIce,none,19981122.0030.trmm.precipIce.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,precipIce,none,19981122.2317.trmm.precipIce.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,precipIce,none,19981123.0511.trmm.precipIce.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,1919981121.1407.f14.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,1919981121.2326.f13.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,1919981122.0121.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,1919981122.0252.f14.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,1919981122.1224.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,1919981123.0108.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,1919981123.0239.f14.pct.x.NONAME.x.jpg
