Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2020-03-30,DAL,5896,LGA,DCA,,,Main,,false,,2020-03-30T14:30,,,,,,2020-03-30T16:00,,,,F6VICN,,,,,,848ea759-b419-45fb-851e-fa8c4fef5538,a8765091-d043-44b1-936c-d217bb519e56,dfeb8457-3376-49f8-b542-dbeb2ec9f719,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,,
2021-03-19,UAL,1439,IAD,DEN,Main,D32,Main,B36,false,,2021-03-19T10:40,2021-03-19T10:48,2021-03-19T10:50,2021-03-19T10:57:40,2021-03-19T12:35,2021-03-19T12:14,2021-03-19T12:45,2021-03-19T12:30,Boeing 737-800,N76519,LVENF0,35A,,,,,7859107c-4f3e-4089-8fcd-5dc53bbd43f0,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,d00b5728-0678-4689-b660-fe9e583203dc,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2021-03-27,UAL,233,DEN,IAD,,B44,,C19,false,,2021-03-27T11:35,2021-03-27T11:35,2021-03-27T11:45,2021-03-27T11:53:51,2021-03-27T16:40,2021-03-27T16:37,2021-03-27T16:50,2021-03-27T16:44,Boeing 737 MAX 9,N27519,LVENF0,37A,,,,,36eafeb3-4aa0-4335-aaac-0526ca8ebdcf,b57b4c86-4724-48f1-80be-d7de4036004a,d00b5728-0678-4689-b660-fe9e583203dc,519696f5-bda6-457c-ae4c-dd1cb07e20de,,8240381a-dce7-4694-a1d8-4769a0c6507a
2021-08-15,JBU,1347,DCA,SJU,B,28,A,4,false,,2021-08-15T08:00,2021-08-15T08:15,2021-08-15T08:10,2021-08-15T09:21,2021-08-15T11:26,2021-08-15T12:28,2021-08-15T11:52,2021-08-15T12:31,Airbus A320,N794JB,,,,,,,f04d0647-db53-4d28-bafc-32013ff49e3d,765155ec-70b3-4183-9cd3-10d1f5127405,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,1f1a1626-74d4-4ce1-b3db-9a365053202a,,dd390a1f-e92a-4411-ab72-04db16d42030
2021-08-22,JBU,1348,SJU,DCA,A,5,B,28,false,,2021-08-22T18:10,2021-08-22T18:56,2021-08-22T18:20,2021-08-22T19:07,2021-08-22T21:39,2021-08-22T22:33,2021-08-22T21:57,2021-08-22T22:38,Airbus A320,N615JB,,,,,,,1e4b3ad0-c70c-453e-98c4-c74207820bb7,765155ec-70b3-4183-9cd3-10d1f5127405,1f1a1626-74d4-4ce1-b3db-9a365053202a,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,,dd390a1f-e92a-4411-ab72-04db16d42030
2022-01-31,BAW,2578,LHR,TRN,5,A11,,,false,,2022-01-31T15:35,2022-01-31T15:25,2022-01-31T15:45,2022-01-31T15:38:59,2022-01-31T18:20,2022-01-31T17:57,,2022-01-31T18:00,Airbus A320,GEUYP,U2USF2,,,,,,436072ce-bd9c-4e6f-97f0-5349476a309b,0e7d613e-188c-4d20-95ee-ddc17c17de3d,5a2a51a0-1a5b-42c9-b220-c61953fac034,d240434b-971d-449b-9f2a-6e55f3732778,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2022-03-14,BAW,2579,TRN,LHR,,,5,,false,,2022-03-14T19:20,2022-03-14T20:34,2022-03-14T19:30,2022-03-14T20:44:24,2022-03-14T20:05,2022-03-14T21:10,,2022-03-14T21:17,Airbus A321neo,GNEOV,U2USF2,,,,,,85e4566d-a8b4-40ea-b467-3fa12a49545f,0e7d613e-188c-4d20-95ee-ddc17c17de3d,d240434b-971d-449b-9f2a-6e55f3732778,5a2a51a0-1a5b-42c9-b220-c61953fac034,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2022-03-30,EZY,8478,LGW,GVA,N,567,1,,false,,2022-03-30T17:05,2022-03-30T17:28,2022-03-30T17:25,2022-03-30T17:40:58,2022-03-30T19:30,2022-03-30T19:48:33,2022-03-30T19:40,2022-03-30T19:51,Airbus A319,HBJYI,K2XRP64,3A,,,,,d1bbcd4c-3f2a-4a99-9978-6d9ca9c9237d,c39d5ea4-a02f-45f5-bbbb-d3ef73b04aff,f0a9abc1-65e8-4666-9c4f-e7c1849cae93,93431f93-d5be-4e8c-a838-007f3ac732a8,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2022-04-05,EZY,8481,GVA,LGW,1,C59,N,,false,,2022-04-05T19:10,2022-04-05T19:09,2022-04-05T19:30,2022-04-05T19:17:25,2022-04-05T19:35,2022-04-05T19:29:21,2022-04-05T19:45,2022-04-05T19:34,Airbus A320,HBJXR,K2XRP64,22B,,,,,a644ba0c-b3f6-4e66-9fd4-7fbfd7fd42cf,c39d5ea4-a02f-45f5-bbbb-d3ef73b04aff,93431f93-d5be-4e8c-a838-007f3ac732a8,f0a9abc1-65e8-4666-9c4f-e7c1849cae93,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2022-05-24,BAW,8494,BER,LCY,1,C1,,,false,,2022-05-24T16:50,2022-05-24T16:56,2022-05-24T17:00,2022-05-24T17:08:54,2022-05-24T17:30,2022-05-24T17:34:48,2022-05-24T17:40,2022-05-24T17:41,Embraer 190,GLCAA,O6NA9H,16D,,,,,fbafbd19-d40d-4b31-a727-43c695b138df,0e7d613e-188c-4d20-95ee-ddc17c17de3d,45b0a8c3-66fd-4443-ac63-4f4354686859,038fea45-3bb9-415b-aa3b-cb61f4dc106e,,fb807099-ea21-44f1-afb3-388faab25ae3
